BillingPeriodStartDate,BillingPeriodEndDate,ProductCode,ProductName,UsageType,Operation,AvailabilityZone,RateId,UsageStartDate,UsageEndDate,UsageQuantity,CurrencyCode,TotalCost,user:billing
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:cc1.4xlarge,RunInstances,us-east-1d,751370,2012/10/01 00:00:00,2012/10/31 23:59:59,441.00000000,USD,573.300000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSQueueService,Amazon Simple Queue Service,Requests-RBP,,,713117,2012/10/01 00:00:00,2012/10/31 23:59:59,1.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRoute53,Amazon Route 53,DNS-Queries,,,688424,2012/10/01 00:00:00,2012/10/31 23:59:59,72903.00000000,USD,0.036452,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,RDS:StorageIOUsage,,us-east-1,717468,2012/10/01 00:00:00,2012/10/31 23:59:59,341016689.00000000,USD,33.868625,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,RDS:StorageIOUsage,,us-east-1,717468,2012/10/01 00:00:00,2012/10/31 23:59:59,903501929.00000000,USD,89.732758,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,RDS:StorageIOUsage,,us-east-1,717468,2012/10/01 00:00:00,2012/10/31 23:59:59,218795179.00000000,USD,21.729998,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,AP-DataTransfer-Out-Bytes,,,575489,2012/10/01 00:00:00,2012/10/31 23:59:59,9.78045820,USD,1.858287,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,RDS:StorageUsage,CreateDBInstance,us-east-1,717563,2012/10/01 00:00:00,2012/10/31 23:59:59,9.99999984,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonSNS,Amazon Simple Notification Service,DeliveryAttempts-SMTP,,,713267,2012/10/01 00:00:00,2012/10/31 23:59:59,9.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,InstanceUsage:db.m1.small,CreateDBInstance:0002,us-east-1,717756,2012/10/01 00:00:00,2012/10/31 23:59:59,744.00000000,USD,78.120000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,EBS:VolumeUsage,,,749873,2012/10/01 00:00:00,2012/10/31 23:59:59,285.22579659,USD,26.326052,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,EBS:VolumeUsage,,,749873,2012/10/01 00:00:00,2012/10/31 23:59:59,104.33334334,USD,9.629862,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRoute53,Amazon Route 53,Intra-AWS-DNS-Queries,,,688417,2012/10/01 00:00:00,2012/10/31 23:59:59,1024433.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,TimedStorage-ByteHrs,,,279196,2012/10/08 22:35:30,2012/10/31 23:59:59,0.00009938,USD,0.000011,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,AP-Requests-Tier2-HTTPS,,,575512,2012/10/01 00:00:00,2012/10/31 23:59:59,186816.00000000,USD,0.224179,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,EU-Requests-Tier2,,,279365,2012/10/01 00:00:00,2012/10/31 23:59:59,20.00000000,USD,0.000020,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,us-east-1d,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,381.25955641,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,242.06211516,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,us-east-1a,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,0.00000117,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,663.53333856,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,us-east-1,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,0.00122306,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,us-east-1d,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,895.95316298,USD,0.000000,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,us-east-1a,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,10.04414347,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,823.37006925,USD,0.000000,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,us-east-1,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,0.00252119,USD,0.000000,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,us-east-1,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,0.00027283,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,us-east-1d,235101,2012/10/01 00:00:00,2012/10/31 23:59:59,1848.09878660,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,AU-Requests-Tier1,GET,,575463,2012/10/01 00:00:00,2012/10/31 23:59:59,2.00000000,USD,0.000002,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,US-Requests-Tier1,GET,,575515,2012/10/01 00:00:00,2012/10/31 23:59:59,147960.00000000,USD,0.110970,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonSES,Amazon Simple Email Service,Recipients-EC2,Send,,706181,2012/10/01 00:00:00,2012/10/31 23:59:59,7048.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,EU-Requests-Tier2-HTTPS,,,575485,2012/10/01 00:00:00,2012/10/31 23:59:59,1992461.00000000,USD,2.390953,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-In-Bytes,,,235101,2012/10/08 22:35:00,2012/10/31 23:59:59,0.01508968,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Out-Bytes,,,235127,2012/10/08 22:35:00,2012/10/31 23:59:59,0.00654488,USD,0.000750,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage,RunInstances,us-east-1d,264111,2012/10/01 00:00:00,2012/10/31 23:59:59,124.00000000,USD,4.399401,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage,RunInstances,us-east-1a,264111,2012/10/01 00:00:00,2012/10/31 23:59:59,1.00000000,USD,0.035479,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage,RunInstances,us-east-1d,264111,2012/10/01 00:00:00,2012/10/31 23:59:59,1170.00000000,USD,41.510479,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage,RunInstances,us-east-1a,264111,2012/10/01 00:00:00,2012/10/31 23:59:59,3158.00000000,USD,112.042814,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage,RunInstances,us-east-1d,264111,2012/10/01 00:00:00,2012/10/31 23:59:59,891.00000000,USD,31.611826,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,RDS:ChargedBackupUsage,,us-east-1,717592,2012/10/01 00:00:00,2012/10/31 23:59:59,324.66394622,USD,40.582993,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Out-Bytes,,us-east-1d,235127,2012/10/01 00:00:00,2012/10/31 23:59:59,2.58878047,USD,0.296749,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Out-Bytes,,,235127,2012/10/01 00:00:00,2012/10/31 23:59:59,10.11863643,USD,1.159888,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Out-Bytes,,us-east-1a,235127,2012/10/01 00:00:00,2012/10/31 23:59:59,0.00000106,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Out-Bytes,,,235127,2012/10/01 00:00:00,2012/10/31 23:59:59,244.01278714,USD,27.970917,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Out-Bytes,,us-east-1d,235127,2012/10/01 00:00:00,2012/10/31 23:59:59,9.24404878,USD,1.059635,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Out-Bytes,,us-east-1a,235127,2012/10/01 00:00:00,2012/10/31 23:59:59,41.52360833,USD,4.759806,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Out-Bytes,,,235127,2012/10/01 00:00:00,2012/10/31 23:59:59,3.15968152,USD,0.362191,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Out-Bytes,,us-east-1d,235127,2012/10/01 00:00:00,2012/10/31 23:59:59,24.47279542,USD,2.805290,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,EU-Requests-Tier1,,,279321,2012/10/01 00:00:00,2012/10/31 23:59:59,1.00000000,USD,0.000010,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,US-DataTransfer-Out-Bytes,,,575503,2012/10/01 00:00:00,2012/10/31 23:59:59,113.36106329,USD,13.603328,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonSES,Amazon Simple Email Service,AttachmentsSize-Bytes,Send,,706183,2012/10/01 00:00:00,2012/10/31 23:59:59,1.54458096,USD,0.185350,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,JP-Requests-Tier1,GET,,575513,2012/10/01 00:00:00,2012/10/31 23:59:59,140.00000000,USD,0.000133,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonSES,Amazon Simple Email Service,Recipients,Send,,706182,2012/10/01 00:00:00,2012/10/31 23:59:59,3305.00000000,USD,0.330500,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:m1.medium,RunInstances,us-east-1d,750648,2012/10/01 00:00:00,2012/10/31 23:59:59,161.00000000,USD,25.760000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:m1.medium,RunInstances,us-east-1d,750648,2012/10/01 00:00:00,2012/10/31 23:59:59,1597.00000000,USD,255.520000,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:m1.medium,RunInstances,us-east-1d,750648,2012/10/01 00:00:00,2012/10/31 23:59:59,512.00000000,USD,81.920000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage,RunInstances:0002,us-east-1a,750636,2012/10/01 00:00:00,2012/10/31 23:59:59,743.00000000,USD,85.445000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:c1.medium,RunInstances,us-east-1d,750922,2012/10/01 00:00:00,2012/10/31 23:59:59,36.00000000,USD,5.940000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:c1.medium,RunInstances,us-east-1d,750922,2012/10/01 00:00:00,2012/10/31 23:59:59,1635.00000000,USD,269.775000,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:c1.medium,RunInstances,us-east-1d,750922,2012/10/01 00:00:00,2012/10/31 23:59:59,2221.00000000,USD,366.465000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,JP-DataTransfer-Out-Bytes,,,575517,2012/10/01 00:00:00,2012/10/31 23:59:59,7.56546225,USD,1.520658,
2012/11/01 00:00:00,2012/11/30 23:59:59,AmazonS3,Amazon Simple Storage Service,TimedStorage-ByteHrs,,,804895,2012/11/01 00:00:00,2012/11/30 23:59:59,21.31413931,USD,2.377885,
2012/11/01 00:00:00,2012/11/30 23:59:59,AmazonS3,Amazon Simple Storage Service,TimedStorage-ByteHrs,,,804895,2012/11/01 00:00:00,2012/11/30 23:59:59,39.12698716,USD,4.365152,
