Day,Count
2013-10-26,1377608
2013-10-27,1380743
2013-10-28,1382997
2013-10-29,1386245
2013-10-30,1388401
2013-10-31,1391649
2013-11-01,1398417
2013-11-02,1403400
2013-11-03,1409770
2013-11-04,1412976
2013-11-05,1424516
