Day,Subscribed,Limited,Grace,Trial,Virtual
2013-06-26,3369,23087,,,9350
2013-06-27,3369,23129,,,9364
2013-06-28,3398,24809,,,9511
2013-06-29,3449,25699,,,9663
2013-06-30,3488,26117,,,9756
2013-07-01,3523,26565,,,9860
2013-07-02,3548,26871,,,9963
2013-07-03,3570,27095,,,10050
2013-07-04,3592,27266,,,10222
2013-07-05,3615,27418,,,10359
2013-07-06,3630,27580,,,10463
2013-07-07,3647,27671,,,10529
2013-07-08,3656,27806,,,10614
2013-07-09,3675,27942,,,10730
2013-07-10,3679,28108,,,10801
2013-07-11,3693,28254,,,10900
2013-07-12,3704,28380,,,10985
2013-07-13,3717,28458,,,11062
2013-07-14,3736,28520,,,11144
2013-07-15,3752,28596,,,11244
2013-07-16,3763,28678,,,11338
2013-07-17,3769,28736,,,11423
2013-07-18,3776,28829,,,11507
2013-07-19,3785,28887,,,11599
2013-07-20,3807,29013,,,11665
2013-07-21,3823,29139,,,11740
2013-07-22,3835,29264,,,11801
2013-07-23,3836,29390,,,11876
2013-07-24,3856,29536,,,11930
2013-07-25,3871,29839,,,12033
2013-07-26,3884,30019,,,12113
2013-07-27,3917,30396,,,12228
2013-07-28,3954,30722,,,12357
2013-07-29,4016,31449,,,12533
2013-07-30,4054,31881,,,12699
2013-07-31,4083,32135,,,12821
2013-08-01,4112,32321,,,12922
2013-08-02,4123,32401,,,13013
2013-08-03,4147,32451,,,13075
2013-08-04,4169,32523,,,13158
2013-08-05,4189,32706,,,13251
2013-08-06,4206,32855,,,13359
2013-08-07,4225,33051,,,13459
2013-08-08,4245,33153,,,13552
2013-08-09,4264,33269,,,13645
2013-08-10,4347,34474,,,13798
2013-08-11,4436,35253,,,13967
2013-08-12,4533,35990,,,14177
2013-08-13,4608,36370,,,14394
2013-08-14,4652,36602,,,14570
2013-08-15,4689,36855,,,14726
2013-08-16,4726,37035,,,14870
2013-08-17,4759,37190,,,15000
2013-08-18,4791,37308,,,15126
2013-08-19,4825,37449,,,15277
2013-08-20,4859,37595,,,15427
2013-08-21,4885,37686,,,15546
2013-08-22,4912,37779,,,15665
2013-08-23,4942,37948,,,15778
2013-08-24,4996,38113,,,15920
2013-08-25,5044,38207,,,16062
2013-08-26,5095,38337,,,16201
