Day,Average,Median
2013-08-18,8946,1569
2013-08-19,8969,1583
2013-08-20,8980,1589
2013-08-21,9013,1591
2013-08-22,9042,1594
2013-08-23,9051,1595
2013-08-24,9070,1598
2013-08-25,9101,1605
2013-08-26,9130,1614
2013-08-27,9154,1622
2013-08-28,9181,1632
2013-08-29,9194,1636
2013-08-30,9171,1628
2013-08-31,9139,1609
2013-09-01,9146,1627
2013-09-02,9122,1629
2013-09-03,9134,1635
2013-09-04,9128,1636
2013-09-05,9123,1629
2013-09-06,9119,1628
2013-09-07,9139,1631
2013-09-08,9152,1633
2013-09-09,9175,1629
2013-09-10,9202,1634
2013-09-11,9217,1640
2013-09-12,9230,1640
2013-09-13,9241,1639
2013-09-14,9250,1642
2013-09-15,9273,1649
2013-09-16,9296,1656
2013-09-17,9305,1662
2013-09-18,9329,1664
2013-09-19,9323,1658
2013-09-20,9330,1664
2013-09-21,9345,1668
2013-09-22,9344,1667
2013-09-23,9339,1670
2013-09-24,9373,1678
2013-09-25,9404,1683
2013-09-26,9437,1685
2013-09-27,9452,1683
2013-09-28,9464,1683
2013-09-29,9481,1690
2013-09-30,9485,1697
2013-10-01,9502,1699
2013-10-02,9499,1696
2013-10-03,9488,1693
2013-10-04,9501,1696
2013-10-05,9512,1697
2013-10-06,9527,1699
2013-10-07,9534,1705
2013-10-08,9533,1704
2013-10-09,9554,1704
2013-10-10,9566,1707
2013-10-11,9573,1713
2013-10-12,9597,1715
2013-10-13,9620,1712
2013-10-14,9640,1715
2013-10-15,9648,1717
2013-10-16,9653,1713
2013-10-17,9630,1706
2013-10-18,9397,1657
2013-10-19,9120,1615
2013-10-20,8796,1553
2013-10-21,8453,1506
2013-10-22,8325,1465
2013-10-23,8267,1442
2013-10-24,8190,1421
2013-10-25,8183,1410
2013-10-26,8184,1405
2013-10-27,8180,1398
2013-10-28,8196,1393
2013-10-29,8212,1387
2013-10-30,8233,1378
2013-10-31,8241,1371
2013-11-01,8253,1367
2013-11-02,8254,1360
2013-11-03,8267,1355
2013-11-04,8284,1351
2013-11-05,8303,1355
